"MovieMeter id,""IMDb code"",""titel"",""jaar"",""alternatieve titel"",""stem"",""geplaatst""";
"60118,""tt1312203"",""102 Minutes That Changed America"",""2008"",""102 Minutes That Changed the World"",""3.5"",""2010-09-10 01:41:27""";
"435,""tt0050083"",""12 Angry Men"",""1957"",""Twelve Angry Men"",""3.5"",""2014-03-31 00:41:40""";
"87685,""tt2024544"",""12 Years a Slave"",""2013"",""Twelve Years a Slave"",""4.0"",""2015-10-24 20:16:47""";
"68549,""tt1542344"",""127 Hours"",""2010"","""",""4.0"",""2011-03-13 20:07:14""";
"48230,""tt0974661"",""17 Again"",""2009"",""Seventeen Again"",""3.0"",""2009-12-21 15:07:11""";
"249,""tt0062622"",""2001: A Space Odyssey"",""1968"",""2001: Een Zwerftocht in de Ruimte"",""3.5"",""2014-12-18 22:57:15""";
"53803,""tt1190080"",""2012"",""2009"","""",""3.5"",""2009-12-14 18:40:32""";
"15033,""tt0315733"",""21 Grams"",""2003"","""",""4.0"",""2015-06-21 23:47:00""";
"76913,""tt1232829"",""21 Jump Street"",""2012"","""",""3.0"",""2012-06-27 12:19:51""";
"96776,""tt2294449"",""22 Jump Street"",""2014"","""",""3.0"",""2014-11-01 01:43:37""";
"3812,""tt0289043"",""28 Days Later..."",""2002"","""",""4.0"",""2009-06-21 15:04:12""";
"40087,""tt0463854"",""28 Weeks Later"",""2007"","""",""3.5"",""2009-06-24 22:51:16""";
"77210,""tt1306980"",""50/50"",""2011"","""",""4.0"",""2013-06-30 12:23:21""";
"62797,""tt0429493"",""A-Team, The"",""2010"",""The A Team"",""3.0"",""2010-06-22 23:51:03""";
"79887,""tt1591479"",""Act of Valor"",""2012"","""",""3.0"",""2012-04-26 22:53:11""";
"30518,""tt0418455"",""Adams Æbler"",""2005"",""Adam's Apples"",""3.0"",""2014-10-03 23:43:39""";
"71340,""tt0983193"",""Adventures of Tintin, The"",""2011"",""De Avonturen van Kuifje: Het Geheim van de Eenhoorn"",""3.0"",""2011-11-14 00:52:30""";
"78886,""tt1712170"",""Alex Cross"",""2012"","""",""2.0"",""2012-11-21 00:16:38""";
"56715,""tt1014759"",""Alice in Wonderland"",""2010"","""",""3.0"",""2010-03-25 13:21:18""";
"3703,""tt0020629"",""All Quiet on the Western Front"",""1930"","""",""4.0"",""2014-11-26 01:45:46""";
"191,""tt0169547"",""American Beauty"",""1999"","""",""5.0"",""2015-05-05 01:03:11""";
"39302,""tt0765429"",""American Gangster"",""2007"","""",""4.0"",""2014-09-24 00:38:14""";
"232,""tt0120586"",""American History X"",""1998"","""",""4.0"",""2013-04-26 00:56:01""";
"94636,""tt1800241"",""American Hustle"",""2013"","""",""2.0"",""2014-02-11 00:28:23""";
"223,""tt0163651"",""American Pie"",""1999"","""",""4.0"",""2008-07-16 16:45:01""";
"32553,""tt0436058"",""American Pie Presents Band Camp"",""2005"","""",""3.0"",""2009-07-16 22:19:22""";
"45265,""tt0974959"",""American Pie Presents Beta House"",""2007"",""American Pie: Beta House"",""2.5"",""2010-08-15 22:14:26""";
"20,""tt0144084"",""American Psycho"",""2000"","""",""3.5"",""2015-02-18 00:40:43""";
